Date,close,volume,tasi,oil,vix,repo_rate,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_20d,vol_ratio,bb_pct,high_52w,dist_from_high,rate_change_3m,rate_regime,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist,ret_5d,bb_upper,bb_lower,low_52w
2023-09-26,106.03899383544922,362444,10918.240234375,93.95999908447266,18.940000534057617,5.5,42.129669189453125,32.58428240228433,108.65688743591309,,,0,0,0,-0.02604165681233017,-0.042662078192514774,1.4316224546263558,0.07856648781920016,,,,stable,0.0,0.0,0.0,-0.0476279796875513,0.0049659014950366,-0.0178253529833596,-0.020365093050646,-0.0499109164044546,-0.1227449729458036,0.2370766190870641,0.1392834336224451,10.52,6.1,-0.010581964253578158,111.76282648062386,105.55094839120233,
2023-09-27,108.30720520019533,285445,11076.9404296875,96.5500030517578,18.21999931335449,5.5,42.81520462036133,46.590899708925036,108.59073143005371,,,0,0,0,0.021390351631079385,-0.012068924481953403,1.1350392290266564,0.45389587341177173,,,,stable,0.0,0.0,0.0,-0.0319525660651652,0.0198836415832118,-0.0645725054913195,-0.0511951053867421,-0.0785340730888228,-0.1350442588130191,0.2198950947031572,0.1549232319678348,10.74,6.23,-0.023850139298290718,111.66557798761515,105.51588487249226,
2023-09-28,109.44131469726562,266840,11055.9599609375,95.37999725341795,17.34000015258789,5.5,42.31663513183594,54.02297464067327,108.54347724914551,,,1,0,0,0.010471228529754795,-0.00856159483946084,1.0397133969471375,0.6503194846496452,,,,stable,0.0,0.0,0.0,-0.0448208418378366,0.0362592469983757,-0.0829016056949845,-0.0634369733995676,-0.0880829647649457,-0.1392743338149569,0.1968913658097364,0.1192563091382561,10.85,6.3,0.0017301777468528012,111.52990795110253,105.55704654718849,
2023-10-01,109.44131469726562,0,11040.169921875,95.37999725341795,17.34000015258789,5.5,42.31663513183594,54.02297464067327,108.52457542419434,109.73812469482422,,1,0,0,0.0,-0.0034423486835917227,0.0,0.6550080204432026,,,,stable,0.0,0.0,0.0,-0.0392500579375063,0.0358077092539146,-0.1070812116426062,-0.0883740472693223,-0.0656304785073113,-0.1245499039648069,0.1934368475809729,0.1098738398359961,10.85,6.3,0.003466282704032153,111.48164587271089,105.56750497567779,
2023-10-02,111.33148956298828,650648,11005.9404296875,90.70999908447266,17.610000610351562,5.5,42.129669189453125,57.89473236971129,108.71359329223633,109.5557275390625,,1,1,0,0.01727112718767332,0.03514939623075697,2.37211104860646,0.9128326120345949,,,,stable,0.0,0.0,0.0,-0.0392674992896855,0.0744168955204425,-0.1137521816946184,-0.0941091142921867,-0.0594227518206171,-0.1327603661043805,0.1867570340013709,0.0941734212631151,11.04,6.41,0.022569426560648198,111.88424429513309,105.54294228933956,
2023-10-03,111.14247131347656,298826,10952.33984375,90.91999816894533,19.780000686645508,5.5,41.75573348999024,62.49997706628217,108.77029876708984,109.34707107543946,,1,1,0,-0.0016977968250821984,0.010309302659765596,1.1141258908643101,0.8587856648181323,,,,stable,0.0,0.0,0.0,-0.04186297880491,0.0521722814646756,-0.1020408485477356,-0.0933449684222345,-0.0476190901136807,-0.131645887327033,0.2074829282878945,0.1053065597250981,11.02,6.4,0.04812830915716626,112.07613394808735,105.46446358609234,
2023-10-04,108.11819458007812,253209,10840.26953125,85.80999755859375,18.57999992370605,5.5,41.50645446777344,54.45547799036714,108.5812816619873,109.13412704467774,,0,0,0,-0.027210810571851374,-0.03378365985955323,1.0511347243630005,0.4219797304658949,,,,stable,0.0,0.0,0.0,-0.0500141893207988,0.0162305294612455,-0.0699300867078372,-0.0867765421083278,-0.0087413490451242,-0.1055175477457879,0.2447549506508521,0.1224646189918075,10.72,6.22,-0.0017451343127895536,111.54901738422004,105.61354593975457,
2023-10-05,107.74014282226562,195027,10764.849609375,84.06999969482422,18.489999771118164,5.5,41.44412612915039,50.0,108.4962230682373,108.93235443115235,,0,0,0,-0.0034966525225548217,-0.015544146922081059,0.8290300585936835,0.3723465621379088,,,,stable,0.0,0.0,0.0,-0.0472033091671106,0.0316591622450296,-0.0614034441706659,-0.0908622967041303,0.001754390188841,-0.1066605301165584,0.2491226986861936,0.1155462237477773,10.69,6.2,-0.015544146922081059,111.45767972241882,105.53476641405578,
2023-10-08,102.06961059570312,512755,10596.01953125,84.06999969482422,18.489999771118164,5.5,40.571624755859375,39.02438864313561,108.19379386901855,108.66587661743164,,0,0,0,-0.052631564039384404,-0.05594418227077491,2.0597397020546784,-0.24157543372725446,,,,stable,0.0,0.0,0.0,-0.0552393338182088,-0.000704848452566,0.0,-0.0510579223256375,0.0648147456046535,-0.0646083942020472,0.3111112572829715,0.1588805036206846,10.12,5.87,-0.06735759819729836,112.32296468211742,104.06462305591968,
2023-10-09,102.25862884521484,421285,10575.33984375,88.1500015258789,17.700000762939453,5.5,41.070194244384766,39.516128244732016,107.90081558227538,108.49309600830078,,0,0,0,0.0018518562813021333,-0.0541959265748132,1.5602807197916786,-0.07461593384558309,,,,stable,0.0,0.0,0.0,-0.0518833940201967,-0.0023125325546164,0.0129389581312522,-0.0384637006928769,0.0591497893457577,-0.0790680095060079,0.4380777846077996,0.2753813287093301,10.14,5.89,-0.08149411054668643,112.81034419497895,102.99128696957182,
2023-10-10,100.93550872802734,182018,10640.0595703125,87.6500015258789,17.030000686645508,5.5,40.571624755859375,26.12611040141904,107.52277984619141,108.26013412475587,,0,0,0,-0.012938958131252232,-0.06968643222115878,0.6747607709157933,-0.06786063584710207,,,,stable,0.0,0.0,0.0,-0.0529659707618996,-0.016720461459259,0.016853896489438,-0.0291082558679605,0.0767789037778974,-0.0626019425427726,0.4232209828418665,0.2573825999101744,10.01,5.81,-0.09183674309940937,113.32285710312044,101.72270258926238,
